Speaker label,Gender (M/F),Word,Vowel Phoneme,A class number,Formant 1,Formant 2,Formant 3
abl001,M,heed,IY,1,258,2273,3340
abl001,M,head,EH,2,457,1852,2599
abl001,M,had,AE,3,511,2103,2634
ajm002,M,heed,IY,1,369,2300,3118
ajm002,M,head,EH,2,405,1897,2763
ajm002,M,had,AE,3,665,1914,2924
cnb001,M,heed,IY,1,262,2527,3318
cnb001,M,head,EH,2,391,2165,2754
cnb001,M,had,AE,3,471,2189,2757
gdw001,M,heed,IY,1,413,2388,3114
gdw001,M,head,EH,2,441,1706,2748
gdw001,M,had,AE,3,443,2004,2671
gg001,M,heed,IY,1,263,2528,3342
gg001,M,head,EH,2,468,2131,3011
gg001,M,had,AE,3,3011,2263,2951
ipd001,M,heed,IY,1,1396,2659,3553
ipd001,M,head,EH,2,609,2109,2909
ipd001,M,had,AE,3,652,1925,2672
jas001,M,heed,IY,1,276,2344,2823
jas001,M,head,EH,2,467,2265,2856
jas001,M,had,AE,3,523,2036,2536
mtd001,M,heed,IY,1,1873,2875,3466
mtd001,M,head,EH,2,1083,2394,3212
mtd001,M,had,AE,3,701,2026,2899
pgd001,M,heed,IY,1,431,2330,2850
pgd001,M,head,EH,2,820,2119,2877
pgd001,M,had,AE,3,620,1824,2579
cpd001,M,heed,IY,1,442,2359,3142
cpd001,M,head,EH,2,691,2007,2741
cpd001,M,had,AE,3,745,1823,2748
mrm001,M,heed,IY,1,303,2310,2830
mrm001,M,head,EH,2,868,2227,3091
mrm001,M,had,AE,3,599,1880,2855
pdk001,M,heed,IY,1,839,2217,3054
pdk001,M,head,EH,2,559,1874,2828
pdk001,M,had,AE,3,365,2274,2907
rjr001,M,heed,IY,1,438,2331,2893
rjr001,M,head,EH,2,775,1580,2682
rjr001,M,had,AE,3,730,1959,4084
tfg001,M,heed,IY,1,328,2380,2975
tfg001,M,head,EH,2,393,2059,2874
tfg001,M,had,AE,3,566,1834,2748
asp002,M,heed,IY,1,359,2248,2720
asp002,M,head,EH,2,743,2000,2928
asp002,M,had,AE,3,619,1720,2514
spd001,M,heed,IY,1,365,2475,3084
spd001,M,head,EH,2,384,2215,2969
spd001,M,had,AE,3,848,2203,2979
asp001,M,heed,IY,1,364,2373,2743
asp001,M,head,EH,2,390,2227,2726
asp001,M,had,AE,3,434,2096,2602
baj001,M,heed,IY,1,398,2377,3040
baj001,M,head,EH,2,654,2321,3111
baj001,M,had,AE,3,636,2062,2814
htl001,M,heed,IY,1,281,2297,3057
htl001,M,head,EH,2,445,2113,2684
htl001,M,had,AE,3,555,1901,2544
acr001,M,heed,IY,1,632,2282,2971
acr001,M,head,EH,2,830,1638,2355
acr001,M,had,AE,3,635,1854,2500
bxp001,M,heed,IY,1,294,2472,2921
bxp001,M,head,EH,2,393,2230,2863
